¿Eres fan de los triples?;¿Cuántos años tienes?;Género;¿En qué distrito de Lima Metropolitana resides o pasas la mayor parte de tu tiempo?;¿Con qué frecuencia consumes triples durante la semana?;¿En qué momento disfrutas más de este tipo de snack? (Selecciona todas las que apliquen);¿Dónde compras tus triples actualmente?;¿Qué valoras más al elegir un triple?;¿Cuál de estas presentaciones de Triple X te parece más atractiva y deliciosa?;¿Qué tipo de cremas o salsas te gustaría que acompañen nuestros triples? (Selecciona todas las que apliquen);¿Tienes en mente alguna crema especial que no viste en la lista anterior y te encantaría que acompañe nuestros triples?;Si tuvieras la oportunidad de probar un nuevo triple fácil de llevar, con rellenos sabrosos y diferentes, ¿qué tanto te interesaría?;¿Qué tan dispuesto(a) estás a probar sabores nuevos en productos como los triples?;¿Con qué te gustaría acompañar tu triple al momento de comerlo? (Selecciona todas las que apliquen);Considerando un triple de buena calidad y tamaño, ¿Cuánto te parecería justo pagar?;¿Dónde te gustaría poder comprar este Triple X? (Selecciona todas las que apliquen);¿Con qué frecuencia utilizarías un servicio de delivery para pedir estos triples?;Si el producto cumple con tus expectativas, ¿qué tan probable sería que lo recomiendes a un amigo o familiar?;¿Tienes algún comentario, sugerencia o idea adicional que quieras compartir con nosotros sobre este nuevo producto?
Sí, me encantan;Más de 45 años;Femenino;Miraflores;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Apps de delivery;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Tártara;¡Una crema de pistacho y chocolate blanco, para maridar con una serie!;Muy interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);A veces;Muy probable;¡Perfecto para recargar energías y luego maratonear series!
No, no son lo mío;35 - 44 años;Femenino;San Borja;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Supermercados;Tamaño práctico y fácil de llevar;La insaciable (chorizo con chimichurri);Ají criollo;Hummus de remolacha, ¡un toque terroso y vibrante sería ideal!;Muy interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Rara vez;Muy probable;Práctico para llevar, pero mejoraría el empaque para compostaje.
Sí, me encantan;25 - 34 años;Femenino;Barranco;4 a 6 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Sabor delicioso;La golosito (pollito a la brasa con papitas);Ají criollo;¡Uff, una cremita de ají amarillo con queso fresco, porfa! 😋;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Supermercados;A veces;Muy probable;¡Me encanta! ¡Un sabor peruano auténtico que alegra el alma!
Sí, me encantan;35 - 44 años;Femenino;Miraflores;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Ají criollo;Mmm, ¡una crema de aguacate y jalapeño le daría un toqueazo!;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Supermercados;A veces;Muy probable;¡Me encanta la idea, pero... ¿hay versión sin gluten, porfa? 😉
Sí, me encantan;18 - 24 años;Femenino;Miraflores;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Sabor delicioso;La golosito (pollito a la brasa con papitas);Ají criollo;¡Uhm, una crema de ají amarillo con queso fresco, porfa! 😋;Muy interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Supermercados;A veces;Muy probable;¡Suena súper! ¿Habrá sabores inspirados en la comida peruana? 🇵🇪
No, no son lo mío;Más de 45 años;Femenino;San Borja;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Supermercados;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Tártara;Una crema de aguacate y cilantro, fresca y rápida, ¡perfecta!;Interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Supermercados;Rara vez;Muy probable;Me facilitaría mucho la vida, ¡pero necesito más detalles!
Sí, me encantan;Menos de 18 años;Femenino;Miraflores;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Ingredientes naturales/saludables;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;¡Crema de aguacate y jalapeño, picante y fresca, porfa! 🥑🌶️;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Supermercados;A veces;Muy probable;¡Súper! ¿Podría venir con semillas para cultivar en casa?
Sí, me encantan;25 - 34 años;Femenino;Miraflores;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Tiendas de conveniencia (Tambo, Oxxo, etc.);Tamaño práctico y fácil de llevar;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;¡Hummus de pimiento rojo asado! Perfecto para dipear y jardinear.;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);A veces;Muy probable;¡Perfecto para un chute de energía entre plantas y reuniones!
Sí, me encantan;35 - 44 años;Femenino;Miraflores;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Ají criollo;¡Una crema de aguacate y cilantro, explosiva y fresca!;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Supermercados;A veces;Muy probable;¡Innovador! Podría fusionarse con técnicas ancestrales para un plus único.
Sí, me encantan;25 - 34 años;Femenino;Miraflores;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Tiendas de conveniencia (Tambo, Oxxo, etc.);Sabor delicioso;La insaciable (chorizo con chimichurri);Tártara;¡Una crema de aguacate y cilantro, súper fresca y con punch!;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);A veces;Muy probable;¡Me encanta! Perfecto para noches de series y antojos rápidos.
